sr_no,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
4054.00,363992,en,The Wizard of Lies,16.775,5/11/2017,6.6,420,"['Crime', 'Drama', 'History', 'Thriller', 'TV Movie']","A look behind the scenes at Bernie Madoff's massive Ponzi scheme, how it was perpetrated on the public and the trail of destruction it left in its wake, both for the victims and Madoff's family.", $-   ,133,Only those you trust can truly betray you.
4056.00,107,en,Snatch,17.715,9/1/2000,7.8,6939,"['Crime', 'Comedy']","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."," $83,557,872.00 ",104,Stealin' stones and breakin' bones.
4057.00,44264,en,True Grit,19.715,12/22/2010,7.3,4173,"['Drama', 'Adventure', 'Western']","Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can findÉ??a man with 'true grit'É??Reuben J. 'Rooster' Cogburn."," $252,276,927.00 ",110,Punishment Comes One Way or Another.
4058.00,463116,en,The Stolen Princess,22.824,3/7/2018,6.7,85,"['Comedy', 'Animation', 'Adventure', 'Family']","This wonderful story happened in the age of valiant knights, beautiful princesses, and battling sorcerers. Ruslan, a wandering artist dreaming to become a knight, met beautiful Mila and fell in love with her; he didnÉ??t even suspect that she is the KingÉ??s daughter. However, the loversÉ?? happiness wasnÉ??t meant to last too long. Chernomor, the evil sorcerer, appeared in a magic vortex and stole Mila right before RuslanÉ??s eyes to transform her power of love into his own magic power. Without further ado, Ruslan sets out on a chase after the stolen princess to overcome all obstacles and to prove that real love is stronger than magic.", $-   ,85,Love is stronger than magic
4059.00,369885,en,Allied,20.72,11/17/2016,6.8,3773,"['Action', 'Drama', 'War', 'Romance', 'Thriller']","In 1942, an intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war."," $119,520,023.00 ",124,The enemy is listening.
4060.00,12096,en,The Pink Panther,18.762,2/10/2006,5.9,1482,"['Comedy', 'Family', 'Mystery', 'Crime', 'Adventure', 'Action']","When the coach of the France soccer team is killed by a poisoned dart in the stadium in the end of a game, and his expensive and huge ring with the diamond Pink Panther disappears, the ambitious Chief Inspector Dreyfus assigns the worst police inspector Jacques Clouseau to the case."," $158,851,357.00 ",93,Pardon His French.
4061.00,333620,en,Stalked by My Neighbor,17.585,3/21/2015,5.7,69,"['Crime', 'Thriller', 'TV Movie']","A girl and her mother escape to suburban safety after a home invasion scares them out of the city, but they're soon menaced by a sinister figure.", $-   ,88,How well do you really know your neighbors?
4062.00,724475,en,Ben 10 Versus the Universe: The Movie,21.504,10/2/2020,7.8,90,"['Animation', 'Action', 'Adventure', 'Science Fiction']","A blast from Ben's past returning to do double the damage on Team Tennyson and planet Earth itself, forcing Ben to go interstellar to save the day.", $-   ,72,Ben 10 is ready to take on the universe in his most epic adventure yet
4063.00,582306,en,Assassin 33 A.D.,20.365,1/24/2020,5.3,86,['Science Fiction'],"When a billionaire gives a group of young scientists unlimited resources to study the science of matter transfer, the scientists unlock the secrets of time travel. But they soon find out that the project is backed by a militant extremist group, and the billionaire plans to go back in time and prove that Jesus never rose from the dead.", $-   ,108,What if the greatest event in human history was erased?
4064.00,97051,en,Would You Rather,17.761,10/14/2012,5.9,702,"['Thriller', 'Horror']","Desperate to help her ailing brother, a young woman agrees to compete in a deadly game of ""Would You Rather"", hosted by a sadistic aristocrat.", $-   ,93,Tell yourself it's just a game.
4065.00,87093,en,Big Eyes,15.763,12/24/2014,7,2952,['Drama'],"The story of the awakening of painter, Margaret Keane, her phenomenal success in the 1950s, and the subsequent legal difficulties she had with her husband, who claimed credit for her works in the 1960s."," $28,883,511.00 ",106,She created it. He sold it. And they bought it.
4066.00,12100,en,Windtalkers,22.207,6/14/2002,6.1,923,"['War', 'Drama', 'Action', 'History']","Joe Enders is a gung-ho Marine assigned to protect a ""windtalker"" - one of several Navajo Indians who were used to relay messages during World War II because their spoken language was indecipherable to Japanese code breakers."," $77,628,265.00 ",134,Honor Was Their Code.
4067.00,15276,en,Barely Legal,19.257,10/21/2005,6.2,218,['Comedy'],"Teenager Deacon works at a video shop, and his buddies, Fred and Matt, sell the bootleg porno films he acquires. Deacon gets fired, but the pals have the bright idea of filming their own Internet porn flick in order to make money and become more popular at school. Hijinks ensue as they cast and create their movie, but porn industry player Vic Ramalot grows jealous of their burgeoning success and tries to put a stop to the project.", $-   ,90,"They couldn't rent it, so they made it themselves."
4068.00,628534,en,The White Tiger,17.816,1/13/2021,7,599,['Drama'],An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller., $-   ,125,Eat or get eaten up.
4069.00,438674,en,Dragged Across Concrete,21.269,9/3/2018,6.6,649,"['Crime', 'Action', 'Thriller']","Two policemen, one an old-timer, the other his volatile younger partner, find themselves suspended when a video of their strong-arm tactics becomes the media's cause du jour. Low on cash and with no other options, these two embittered soldiers descend into the criminal underworld to gain their just due, but instead find far more than they wanted awaiting them in the shadows."," $660,132.00 ",159,Those who can't earn a living must find another way to provide
4070.00,617505,en,Hubie Halloween,21.749,10/7/2020,6.1,1130,"['Comedy', 'Mystery']","Hubie Dubois, despite his devotion to his hometown of Salem, Massachusetts (and its legendary Halloween celebration), is a figure of mockery for kids and adults alike. But this year, something really is going bump in the night, and itÉ??s up to Hubie to save Halloween.", $-   ,103,Fear. Less.
4071.00,335787,en,Uncharted,19.959,2/10/2022,0,0,"['Action', 'Adventure']","In an action-adventure epic that spans the globe, young street-smart Nathan Drake and his wisecracking partner Victor É??SullyÉ?ù Sullivan embark on a dangerous pursuit of É??the greatest treasure never foundÉ?ù while also tracking clues that may lead to NathanÉ??s long-lost brother.", $-   ,0,Fortune favors the bold.
4073.00,172,en,Star Trek V: The Final Frontier,20.251,6/9/1989,5.7,847,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","The crew of the Federation starship Enterprise is called to Nimbus III, the Planet of Intergalactic Peace. They are to negotiate in a case of kidnapping only to find out that the kidnapper is a relative of Spock. This man is possessed by his life long search for the planet Shaka-Ri which is supposed to be the source of all life. Together they begin to search for this mysterious planet."," $70,200,000.00 ",107,Adventure and imagination will meet at the final frontier.
4074.00,13836,en,Race to Witch Mountain,22.102,3/12/2009,5.8,1334,"['Adventure', 'Family', 'Fantasy', 'Science Fiction', 'Thriller', 'Action']","A taxi driver gets more than he bargained for when he picks up two teen runaways. Not only does the pair possess supernatural powers, but they're also trying desperately to escape people who have made them their targets."," $106,303,988.00 ",98,The race is on
4075.00,913,en,The Thomas Crown Affair,18.5,8/6/1999,6.7,861,"['Drama', 'Crime', 'Romance']","A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective."," $124,305,181.00 ",113,How do you get the man who has everything?
4076.00,302156,en,Criminal,17.007,4/7/2016,6.1,1337,"['Action', 'Crime', 'Science Fiction']","CIA Agent Bill Pope is on a mission to track down a shadowy hacker named 'The Dutchman'. When he gets mysteriously killed, an experimental procedure transfers his memories into a dangerous ex-convict. When he wakes up Pope's memories, his mission is to eliminate The Dutchman before the hacker launches ICBMs and starts World War III."," $14,708,696.00 ",113,NA
4077.00,11231,en,The Next Karate Kid,21.248,7/18/1994,5.3,731,"['Action', 'Drama', 'Family', 'Adventure']","Mr. Miyagi decides to take Julie, a troubled teenager, under his wing after he learns that she blames herself for her parents' demise and struggles to adjust with her grandmother and fellow pupils."," $15,876,353.00 ",107,"It's ancient wisdom against teenage spunk. 1,000 years of karate tradition is about to get a kick in the pants."
4078.00,258480,en,Carol,21.905,11/20/2015,7.5,2947,"['Romance', 'Drama']","In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman."," $40,272,135.00 ",118,Some people change your life forever.
4079.00,534072,en,Great White,20.27,6/10/2021,5.2,129,"['Horror', 'Thriller']","A sea plane is destroyed in a freak accident, five people find themselves drifting on a raft. At the mercy of the tide and with no hope of rescue, the helpless situation takes a horrifying turn when they are terrorized by a ravenous great white."," $517,929.00 ",91,Take your final breath.
4080.00,8337,en,They Live,30.311,11/23/1988,7.3,2044,"['Science Fiction', 'Action']","Nada, a wanderer without meaning in his life, discovers a pair of sunglasses capable of showing the world the way it truly is. As he walks the streets of Los Angeles, Nada notices that both the media and the government are comprised of subliminal messages meant to keep the population subdued, and that most of the social elite are skull-faced aliens bent on world domination. With this shocking discovery, Nada fights to free humanity from the mind-controlling aliens."," $13,008,928.00 ",94,You see them on the street. You watch them on TV. You might even vote for one this fall. You think they're people just like you. You're wrong. Dead wrong.
4081.00,62764,en,Mirror Mirror,18.751,3/15/2012,5.9,2781,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']","After she spends all her money, an evil enchantress queen schemes to marry a handsome, wealthy prince. There's just one problem - he's in love with a beautiful princess, Snow White. Now, joined by seven rebellious dwarves, Snow White launches an epic battle of good vs. evil..."," $183,018,522.00 ",106,The Snow White legend comes alive.
4082.00,13151,en,Scooby-Doo on Zombie Island,22.447,9/22/1998,7.6,508,"['Animation', 'Comedy', 'Family', 'Mystery', 'Adventure']","The Mystery Gang reunite and visit Moonscar Island, a remote island with a dark secret. Daphne wants more than just a villain in a costume, and they get more than they ever expected.", $-   ,77,"This time, the monsters are real!"
4083.00,343674,en,Gerald's Game,22.456,9/29/2017,6.4,2812,"['Horror', 'Thriller']","When her husband's sex game goes wrong, Jessie (who is handcuffed to a bed in a remote lake house) faces warped visions, dark secrets and a dire choice.", $-   ,104,Some games you play. Some you survive.
4084.00,4148,en,Revolutionary Road,18.147,12/19/2008,6.9,3014,"['Drama', 'Romance']",A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children. Based on a novel by Richard Yates.," $75,981,180.00 ",119,How do you break free without breaking apart?
4085.00,515789,en,StarDog and TurboCat,22.237,12/6/2019,7.4,74,"['Animation', 'Comedy', 'Family']","When vigilante cat, Felix, and loyal canine, Buddy, set out to find BuddyÉ??s lost owner, they discover not only the power of friendship, but their inner superpowers along the way."," $585,443.00 ",88,The greatest superheroes ever unleashed!
4086.00,72976,en,Lincoln,17.945,11/9/2012,6.9,3055,"['History', 'Drama']","The revealing story of the 16th US President's tumultuous final months in office. In a nation divided by war and the strong winds of change, Lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. With the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come."," $275,293,450.00 ",149,"With the moral courage and fierce determination to succeed, his choices will change the fate of generations to come."
4087.00,460024,en,Stasis,19.999,6/2/2017,3.5,142,"['Adventure', 'Science Fiction']","After a night out of partying and left behind by her friends, Ava wakes up and sneaks back home only to find that she's already safe in bed. But that's not Ava - it's someone who looks just like her. A time-traveling fugitive has stolen Ava's body, her identity, and her life. What's more -- she's not alone. There are others, hiding in the past, secretly living among us, plotting to alter the future. Without her body, Ava is a virtual ghost, silent and invisible to the world. And, so far as she knows, she's the only one who can stop them and put the timeline back on course.", $-   ,84,Their war. Our time.
4088.00,301804,en,Before I Wake,19.246,4/7/2016,6.4,1411,"['Drama', 'Fantasy', 'Horror', 'Thriller']",An orphaned child's dreamsÉ??and nightmaresÉ??manifest physically as he sleeps.," $3,295,624.00 ",97,Fear your dreams.
4089.00,334524,en,Gold,20.494,2/3/2016,6.6,1273,"['Adventure', 'Drama', 'Thriller']","Kenny Wells, a modern-day prospector, hustler, and dreamer, is desperate for a lucky break. Left with few options, Wells teams up with an equally luckless geologist to execute a grandiose, last-ditch effort: to find gold deep in the uncharted jungle of Indonesia."," $14,880,939.00 ",121,Prove 'em all wrong
4091.00,227783,en,The Nut Job,22.492,1/17/2014,5.7,753,"['Animation', 'Comedy', 'Family', 'Adventure']","Surly, a curmudgeon, independent squirrel is banished from his park and forced to survive in the city. Lucky for him, he stumbles on the one thing that may be able to save his life, and the rest of park community, as they gear up for winter - Maury's Nut Store."," $122,529,966.00 ",85,Let's Get Nuts!
4092.00,150117,en,I Give It a Year,18.491,2/8/2013,5.5,610,"['Comedy', 'Romance']","After a quick courtship, two lovers hastily decide to tie the knot. As their first year of marriage unfolds, temptation and incompatibility put their relationship in jeopardy."," $29,128,433.00 ",97,NA
