sr_no,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
4432,346,ja,七人の侍,25.543,4/26/1954,8.5,2426,"['Action', 'Drama']","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.","$271,842.00",207,The Mighty Warriors Who Became the Seven National Heroes of a Small Town
4474,728754,ja,STAND BY ME ドラえもん2,19.043,11/20/2020,7.8,66,['Animation'],"She and her beloved Shizuka are finally married! Nobita's childhood dream was supposed to come true on his wedding day, but for some reason, Nobita doesn't show up... One of the most popular episodes from the original story transcends time and space, and leads to Nobita's future. Doraemon and Nobita's great adventure begins in order to fulfill his grandmother's wish to see his bride at first sight. This is a story of tears and bonds, set in the past, present and future.",$0.00,96,
4477,290271,ja,ONE PIECE “3D2Y” エースの死を越えて! ルフィ仲間との誓い,16.826,12/31/2014,7.4,77,"['Action', 'Animation', 'Adventure', 'Comedy', 'Fantasy']","The special takes place during the two year before the Straw Hats reunite on Sabody.  Luffy is currently in Rusukaina training to get stronger to take on the New World. However the training  is interrupted when Hancock's sisters, Marigold and Sandersonia, are kidnapped by the Byrnndi World,  a pirate who was locked away on Level 6 of Impel Down but escaped during Luffy's invasion to save Ace,  in order to lure Hancock to him and use her as a hostage against the World Government due to her  Shichibukai status. Thus Luffy and Hancock head off to confront him and save Hancock's sisters.",$0.00,105,
4507,428125,ja,君と100回目の恋,13.529,2/4/2017,7.4,26,"['Romance', 'Drama']","On July 27th, university student Aoi Hinata (Miwa) has an accident. When she wakes up, Aoi Hinata finds herself in a classroom from one week before the accident.  At that time, her childhood friend Riku Hasegawa (Kentaro Sakaguchi) tells her ""I will tell you a secret. I can turn back time."" Aoi Hinata and Riku Hasegawa like each other, but never expressed their feelings. They share their feelings for each other and go back to one year earlier. They spend their time happily as girlfriend and boyfriend, but there is a big secret behind the time slip. In addition, July 27 is approaching.",$0.00,116,
4525,149871,ja,かぐや姫の物語,17.739,11/23/2013,8.1,1224,"['Animation', 'Drama', 'Fantasy']","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate, the punishment for her crime.","$24,366,656.00",137,A princess's crime and punishment
4551,14092,ja,攻殻機動隊 2.0,18.971,7/12/2008,7.5,281,"['Action', 'Animation', 'Science Fiction']","In the year 2029, Section 9, a group of cybernetically enhanced cops, are called in to investigate and stop a highly-wanted hacker known as 'The Puppetmaster'.  Ghost in the Shell 2.0 is a reproduced version of its original 1995 counterpart. Among a numerous enhancements, for the film's 2.0 release, were a number of scenes were overhauled with 3D animation, visual improvements, and soundtrack rerecorded in 6.1 surround sound.",$0.00,85,It Found A Voice... Now It Needs A Body
4556,553610,ja,機動戦士ガンダムNT,20.443,11/30/2018,7.3,7,"['Animation', 'Science Fiction', 'Action']","U.C. 0097, one year after the opening of ""Laplace's Box"".  Despite the revelation of the Universal Century Charter that acknowledges the existence and rights of Newtypes, the framework of the world has not been greatly altered.  The conflict later dubbed the ""Laplace Incident"" is thought to have ended with the downfall of the Neo Zeon remnants known as the Sleeves. In its final battle, two full psycho-frame mobile suits displayed power beyond human understanding. The white unicorn and the black lion were sealed away to remove this danger from people's consciousness, and they should now be completely forgotten.  However, the RX-0 Unicorn Gundam 03, which disappeared two years earlier, is now about to show itself in the Earth Sphere once more. A golden phoenix… named Phenex.",$0.00,90,The Destination of the Newtype Myth.
4562,12599,ja,劇場版ポケットモンスター 幻のポケモン ルギア爆誕,23.414,7/17/1999,6.6,629,"['Adventure', 'Fantasy', 'Animation', 'Science Fiction', 'Family']","Satoshi must put his skill to the test when he attempts to save the world from destruction. The Greedy Pokemon collector Gelardan throws the universe into chaos after disrupting the balance of nature by capturing one of the Pokemon birds that rule the elements of fire, lightning and ice. Will Satoshi have what it takes to save the world?","$163,649,270.00",84,One Person Can Make All The Difference!
4580,276624,ja,アイアムアヒーロー,18.711,4/23/2016,7.3,236,"['Action', 'Science Fiction', 'Fantasy', 'Horror']","Hideo Suzuki is a 35-year-old mangaka assistant, whose life seem to be stuck around his exhausting but low-paying job, unfulfilled dreams, strange hallucinations and unsatisfying relationships. He sees himself as a supporting character in his own life, has low self-esteem, resulting in frustration. One day, the world as Hideo knows it is shattered by the presence of a disease that turns people into homicidal maniacs, whose first instinct is to attack and devour the nearest human.",$0.00,126,Welcome to ZQN World
4595,53064,ja,地下幻燈劇画 少女椿,20.105,5/2/1992,6.6,72,"['Horror', 'Animation', 'Drama']","After losing her parents, young flower selling Midori is put up by a fairground group. She is abused and forced to slavery, until the arrival of an enigmatic magician of short stature, who gives her hope for a better future.",$0.00,48,The camelia girl
