sr_no,id,original_language,original_title,release_date,vote_average,vote_count,genre,overview,revenue,runtime,gender
8089,9009.0,en,Dark Water,7/8/2005,5.5,739.0,Horror,"Dahlia Williams and her daughter Cecelia move into a rundown apartment on New Yorks Roosevelt Island. She is currently in midst of divorce proceedings and the apartment, though near an excellent school for her daughter, is all she can afford. From the time she arrives, there are mysterious occurrences and there is a constant drip from the ceiling in her daughters bedroom.",49483352.0,105.0,1
8090,407449.0,en,Lucky,9/29/2017,7.3,395.0,Drama,"Follows the journey of a 90-year-old atheist and the quirky characters that inhabit his off-the-map desert town. He finds himself at the precipice of life, thrust into a journey of self-exploration.",955925.0,88.0,0
8091,651070.0,en,A Fall from Grace,1/17/2020,7.1,702.0,DramaFantasyThriller,"When a law-abiding woman gets indicted for murdering her husband, her lawyer soon realizes that a larger conspiracy may be at work.",107503530.61488006,120.0,1
8092,622977.0,en,The Last Vermeer,11/20/2020,6.7,37.0,Drama,"A soldier and member of the Dutch resistance investigates stolen art in the wake of the Second World War, including a Vermeer sold to the Nazis by a flamboyant forger.",107503530.61488006,118.0,0
8093,113947.0,en,The Sessions,5/2/2012,7.0,416.0,DramaRomanceComedy,"Though a childhood bout with polio left him dependent on an iron lung, Mark OBrien maintains a career as a journalist and poet. A writing assignment dealing with sex and the disabled piques Marks curiosity, and he decides to investigate the possibility of experiencing sex himself. When his overtures toward a caregiver scare her away, he books an appointment with sex surrogate Cheryl Green to lose his virginity.",9138338.0,95.0,0
8094,415010.0,fr,Les affamés,9/23/2017,5.9,279.0,HorrorDramaScience Fiction,"In an isolated rural community of Quebec, Canada, some inhabitants attack other people, hungry for human flesh. A few survivors gather and go deep into the forest to escape them.",107503530.61488006,103.0,0
8095,513434.0,ja,カメラを止めるな！,11/4/2017,7.7,427.0,ComedyHorror,"""Things go badly for a hack director and film crew shooting a low-budget zombie movie in an abandoned Japanese World War II facility, when they are attacked by real zombies."" Or, thats what it says on the tin, but this is the story of how it really happened...",200000000.0,96.0,1
8096,299584.0,en,Christmas Under Wraps,11/29/2014,5.8,112.0,TV MovieRomance,"When a driven doctor doesnt get the prestigious position she planned for, she unexpectedly finds herself moving to a remote Alaskan town. While she meets the locals and even starts a new romance, she has to learn to let the life she planned for give way to a love she never could have imagined, and finds this festive small town is hiding one big holiday secret.",107503530.61488006,88.0,1
8097,9090.0,en,"To Wong Foo, Thanks for Everything! Julie Newmar",9/7/1995,7.3,459.0,Comedy,"Three New York drag queens on their way to Hollywood for a beauty pageant get stranded in a small Midwestern town for the entire weekend when their car breaks down. While waiting for parts for their Cadillac convertible, the flamboyant trio shows the local homophobic rednecks that appearing different doesnt mean they dont have humanity in common.",47774193.0,109.0,0
8098,642725.0,sk,Perinbaba a dva svety,11/11/2021,0.0,0.0,FamilyFantasy,"Lukáš, Alžbetkas son, takes off into the world looking for happiness and love. His godmother, the celestial Lady Winter, keeps an eye on him. He arrives late in the fairy-tale land that she leads him to. Fear reigns where once cakes grew on trees. The miraculous ram has disappeared and the royal town is cursed. Lukáš has to decide what is closer to his heart: a fortune or love?",107503530.61488006,101.0900430239705,1
8099,702936.0,en,Sniper: Assassins End,6/15/2020,6.6,89.0,Action,"Special ops sniper Brandon Beckett and his legendary father look for a dark operative within the government, and take on Russian mercenaries and a yakuza-trained assassin.",107503530.61488006,95.0,0
8100,257450.0,en,Piranha Sharks,5/8/2014,6.9,29.0,HorrorComedy,"Great white sharks bio-engineered to be the size of piranhas with the purpose of living in rich peoples exotic aquariums, terrorize New York City when they get into the water supply and do what great white sharks do best.",107503530.61488006,79.0,1
8101,9093.0,en,The Four Feathers,9/8/2002,6.6,416.0,WarDramaRomanceActionAdventure,"The story, set in 1885, follows a British officer (Heath Ledger) who resigns his post when he learns of his regiments plan to ship out to the Sudan for the conflict with the Mahdi. His friends and fiancée send him four white feathers which symbolize cowardice. To redeem his honor he disguises himself as an Arab and secretly saves the lives of those who branded him a coward.",29882645.0,132.0,1
8102,820530.0,ja,劇場版 抱かれたい男1位に脅されています。～スペイン編～,10/9/2021,1.3,2.0,AnimationDramaComedy,,107503530.61488006,101.0900430239705,1
8103,426249.0,en,Lords of Chaos,9/20/2018,6.6,259.0,DramaMusicHorrorThriller,A teenagers quest to launch Norwegian Black Metal in Oslo in the 1990s results in a very violent outcome.,365353.0,118.0,1
8104,367462.0,en,68 Kill,1/18/2018,5.8,79.0,ComedyCrime,"Chips problem is that he cant say no to beautiful women. This weakness gets him into a world of trouble when he agrees to help his girlfriend steal $68,000.",107503530.61488006,92.0,1
8105,18220.0,en,Poison Ivy 2: Lily,1/16/1996,4.8,84.0,DramaRomanceThriller,"A young and naive college art student becomes obsessed with assuming the identity and personality of a departed coed who used to live in her room, and in so doing causes complications that result in two men, a student and her art professor, lusting after her.",107503530.61488006,106.0,0
8106,858064.0,en,Night of the Animated Dead,9/21/2021,6.7,67.0,AnimationHorror,"An animated retelling of ‘Night of the Living Dead’, in which a group of people in a rural farmhouse struggle to survive the threat of bloodthirsty zombies.",107503530.61488006,70.0,1
8107,16804.0,ja,おくりびと,9/13/2008,7.9,555.0,Drama,"Daigo, a cellist, is laid off from his orchestra and moves with his wife back to his small hometown where the living is cheaper. Thinking he’s applying for a job at a travel agency he finds he’s being interviewed for work with departures of a more permanent nature – as an undertaker’s assistant.",69932387.0,130.0,0
8108,2778.0,en,Clifford,4/1/1994,4.9,63.0,Comedy,"When his brother asks him to look after his young son, Clifford, Martin Daniels agrees, taking the boy into his home and introducing him to his future wife, Sarah. Clifford is fixated on the idea of visiting a famed theme park, and Martin, an engineer who helped build the park, makes plans to take him. But, when Clifford reveals himself to be a first-rate brat, his uncle goes bonkers, and a loony inter-generational standoff ensues.",7411659.0,89.0,1
8109,468816.0,en,The Rising Hawk,10/10/2019,6.0,67.0,ActionHistoryDrama,"During the 13th century, a small village fights for freedom in the frontier landscape of the Carpathian Mountains against Mongolian invaders.",107503530.61488006,110.0,1
8110,611562.0,en,Hollow Point,6/13/2019,6.9,103.0,Action,"When his wife and daughter are senselessly murdered, a grieving man finds himself caught up in a war between a group of charismatic vigilantes and the crime that infests their city.",1000000.0,90.0,0
8111,422153.0,en,Hulk: Where Monsters Dwell,10/21/2016,6.9,54.0,ActionAnimationFantasyScience Fiction,"This All Hallows’ Eve, Nightmare is bent on conquering our waking world by crossing through the Dream Dimension, and converting each dreamer into a monster. Can Dr. Strange, Hulk and the Howling Commandos hold the line and put an end to his nefarious scheme?",107503530.61488006,75.0,0
8112,991.0,en,The Man Who Fell to Earth,3/18/1976,6.5,360.0,DramaScience Fiction,"Thomas Jerome Newton is an alien who has come to Earth in search of water to save his home planet. Aided by lawyer Oliver Farnsworth, Thomas uses his knowledge of advanced technology to create profitable inventions. While developing a method to transport water, Thomas meets Mary-Lou, a quiet hotel clerk, and begins to fall in love with her. Just as he is ready to leave Earth, Thomas is intercepted by the U.S. government, and his entire plan is threatened.",107503530.61488006,138.0,1
